_key	2020-11	2020-10	2020-09	2020-08	2020-07	2020-06	2020-05	2020-04	2020-03	2020-02	2020-01	2019-12	2019-11	2019-10	2019-09	2019-08	2019-07	2019-06	2019-05	2019-04	2019-03	2019-02	2019-01	2018-12	2018-11	2018-10	2018-09	2018-08	2018-07	2018-06	2018-05	2018-04	2018-03	2018-02	2018-01	2017-12	2017-11	2017-10	2017-09	2017-08	2017-07	2017-06	2017-05	2017-04	2017-03	2017-02	2017-01	2016-12	2016-11	2016-10	2016-09	2016-08	2016-07	2016-06	2016-05	2016-04	2016-03	2016-02	2016-01	2015-12	2015-11	2015-10	2015-09	2015-08	2015-07	2015-06	2015-05	2015-04	2015-03	2015-02	2015-01	2014-12	2014-11	2014-10	2014-09	2014-08	2014-07	2014-06	2014-05	2014-04	2014-03	2014-02	2014-01	2013-12	2013-11	2013-10	2013-09	2013-08	2013-07	2013-06	2013-05	2013-04	2013-03	2013-02	2013-01	2012-12	2012-11	2012-10	2012-09	2012-08	2012-07	2012-06	2012-05	2012-04	2012-03	2012-02	2012-01	2011-12	2011-11	2011-10	2011-09	2011-08	2011-07	2011-06	2011-05	2011-04	2011-03	2011-02	2011-01	2010-12	2010-11	2010-10	2010-09	2010-08	2010-07	2010-06	2010-05	2010-04	2010-03	2010-02	2010-01	2009-12	2009-11	2009-10	2009-09	2009-08	2009-07	2009-06	2009-05
discrimination	1																1																																													1																																																																													
gave	2	1	2	5		6	2	5	2	1	3	3	3	4	1	1	6	5		2		2	3	7	2	3		2	3	4	2	2	1	2	1		2	3		1	2	2	4			1	2	3	1	4	3	1		2	7			7	6	2	5	3	1	1	4		3	4	3			1		2	1		1	3	2		1		1		5	2	3		2	5	7	5	1	5	1	1	2	3		3	3	2	1	1		2	2		1	1	1	2					1																						
long	11	22	2	7	7	7	9	7	7	6	4	8	4	10	9	14	11	6	14	7	8	6	9	17	7	6	8	4	8	18	9	5	3	7	8	7	5	6	2	6	3	2	2	3	1	6	4	1	2	3		1	3	2		4	1	4	3	5	8	2	3	2	10	5	6	6	2	4	6	3	6	6	4	2	4	9	2	5	5	3	4	4	4	3	4	12	3	4	5	4	11	2	4	4	6	6	2	1	1	1	3	1		1	2	2		2	1																		1										
news	26	36	42	36	33	28	39	70	54	24	14	21	22	31	55	49	27	33	28	18	28	9	32	23	16	25	9	35	32	28	18	18	11	11	25	32	10	31	7	18	17	19	12	5	8	19	14	2	5	3	5	1	8	5	2	3	11	2	8	10	14	16	4	7	6	5	4	6		3	5	2	4	4	2	4	5	5	4	4	2	1	4	2	7	2	6	5	10	2	4	11	5	10	7	4	8	5	4	4	1	4	2	1	3	4	1	2	1	5		5	1				3		1		1																		
conference	7		7	7	3	1		23	14	2		1	2	1		2	1	2	1	2	1	1		2	2	2			6	3		1	1	2	1	1	2			3	2		1	1	1	2	2	1	1	1	1		3	4	2		3	1			1		3		2		1	1			1	1	2	4			1	2	3	2			1			1	1		3	3		4	5		2				2			2		1	1					1						1																							
today	12	28	34	10	5	10	12	23	18	10	10	15	15	15	12	15	18	19	26	16	18	12	13	20	14	19	9	13	13	21	21	16	7	15	15	13	16	14	14	10	9	11	16	15	16	4	12	12	14	8	15	8	14	12	18	6	9	14	10	14	11	13	11	5	11	13	13	15	7	4	6	12	13	10	4	7	14	11	7	8	11	5	15	13	13	11	12	10	16	11	11	12	10	10	6	6	14	18	8	15	4	8	5	12	6	9	5	11	3	3	5	8	3	5	2	4	6	5			1				1	1		2		1								2	1
wishing	1							2							1				1	1				1												1		1					1														1								1		1				2	1	1		1			2									1				1					1		1	1														1		1					2					1		1					1	1					1	
military	6	22	17	13	6	36	23	11	6	19	20	13	8	19	12	9	17	7	12	4	9	7	4	16	17	23	12	19	12	9	7	9	8	8	22	8	14	5	9	11	9	1	2	4			1	3		2	3	1		1	1		2		2				2		10	2	5	1		1		2	2	3	1	1		2	2		2	1		1	1	3	2	5		2	16	2	1					6	1	2		4	2	1	4	4	3	2	2	2	2	1																											
happy	4	4	11	12	5	2	6	10	1	3	6	2	4	5	5	8	9	5	3	5	3		4	4	4	4	5	4	9	6	7	3	8	2	3	3	8	7	4	3	3	2	1	3	3	3	1	4	3	2	1	1	2	2	3	3	1	2	7	4	5	7	1	2	5	5	4	3	1	3	12	10	5	5	6		2	23		9	2	4	12	6	5	3	10	19	5	8	9	10	8	12	21	15	5	11	3	1	4			1	3		2	3		2	3	1			1					2	1		1				3		1			1	1				1	1	
thanksgiving	6	1											6												3												5												3												2											1	3	2											6												5																								2												1						
