_key	2020-11	2020-10	2020-09	2020-08	2020-07	2020-06	2020-05	2020-04	2020-03	2020-02	2020-01	2019-12	2019-11	2019-10	2019-09	2019-08	2019-07	2019-06	2019-05	2019-04	2019-03	2019-02	2019-01	2018-12	2018-11	2018-10	2018-09	2018-08	2018-07	2018-06	2018-05	2018-04	2018-03	2018-02	2018-01	2017-12	2017-11	2017-10	2017-09	2017-08	2017-07	2017-06	2017-05	2017-04	2017-03	2017-02	2017-01	2016-12	2016-11	2016-10	2016-09	2016-08	2016-07	2016-06	2016-05	2016-04	2016-03	2016-02	2016-01	2015-12	2015-11	2015-10	2015-09	2015-08	2015-07	2015-06	2015-05	2015-04	2015-03	2015-02	2015-01	2014-12	2014-11	2014-10	2014-09	2014-08	2014-07	2014-06	2014-05	2014-04	2014-03	2014-02	2014-01	2013-12	2013-11	2013-10	2013-09	2013-08	2013-07	2013-06	2013-05	2013-04	2013-03	2013-02	2013-01	2012-12	2012-11	2012-10	2012-09	2012-08	2012-07	2012-06	2012-05	2012-04	2012-03	2012-02	2012-01	2011-12	2011-11	2011-10	2011-09	2011-08	2011-07	2011-06	2011-05	2011-04	2011-03	2011-02	2011-01	2010-12	2010-11	2010-10	2010-09	2010-08	2010-07	2010-06	2010-05	2010-04	2010-03	2010-02	2010-01	2009-12	2009-11	2009-10	2009-09	2009-08	2009-07	2009-06	2009-05
sharyl																																						1																																																																																																					
licenses																																						1																								1			1																																																																										
harrisburg																																						1			1												1																																																																																						
ot																																						1																																																																																																					
arsenal																																						1		1																																																										1								1																																	
leaps																																						1																												1																																																																									
jemele																																						1																																																																																																					
espn																																						1	1																										1								2		2						1		2						1																																																		
pen																																						1			2																																						1			1																																																									
cowboys																																						1	1																																						1			1																																																											
racking																																						1																																																																																																					
kneeled																																						1	1																																																																																																				
makings																																						1																																																1																																																					
unfunny																																						1												1																										1																1																																															
repetitive																																						1																																																																																																					
mapp																																						1	2																																																																																																				
ingrates																																						1																																																																																																					
analyzing																																						1																																																	1																																																				
tues																																						1																												1							1																																																																		
gonzalez																																							1																																																																																																				
colon																																							1																																																																																																				
kenneth																																							2																																																						1																			1																											
virgin																																							3																																																																1																																				
islands																																							3																		1																																										1																																								
ricardo																																							3																																																					1		1																																													
rossello																																							2																																																																																																				
ricky																																							1																																																																																																				
fr																																							1																																			1						1																																																											
kippur																																							1																								1																																																																												
holiest																																							1																																																																																																				
aligning																																							1																																																																																																				
classrooms																																							1																																																																																																				
docks																																							1																																																																																																				
generators																																							1																																																																																																				
hcare																																							2	1																																																																																																			
advising																																							1																																																																																																				
nsc																																							1																																																																																																				
isolate																																							1																																																																																																				
carmen																																							1																																																																																																				
yulin																																							1																																																																																																				
tortured																																							1																							1						1																	1																																																						
booing																																							1																																								1																																																												
loudest																																							1																																																																																																				
repealing																																							1					1																						1							1																																1																																		
owed																																							1										1																			2		1																						1																																															
cos																																							1	1																																																1																																																			
nhl																																							1																																																																																																				
echoes																																							1																										1																																																																										
laughingly																																							1																																																																																																				
deceived																																							1											1																																																																																									
curry																																							1																																																																																																				
hesitating																																							1																																																																																																				
madman																																							1																																						1														1																																																
poroshenko																																							1			1																																																																																																	
ashraf																																							1																																																																																																				
abbas																																							1								1																																																																																												
palestinian																																							1											1			2																																																		1																																				
abdullah																																							1																					1																																																																															
noticing																																							1																																																																																																				
emmys																																							1																																					4				1	1						2					1						1	5												1																												
sg																																							1																																		1																															1																																			
cont																																							1	2								1	1		1	1		2																							1						2	4		4	2	2	3	2	1	3	2				2	18	16	9	17	22	49	70	82	92	58	35	17	11	11	11			1																								
fx																																							1																																																																																																				
giaccio																																							1																																																																																																				
programming																																							1																																																		1																																																		
untruth																																							1																																																																																																				
recruitment																																							1																						1				1																																																																										
payer																																							1																											1								3		1	1											1					1																																														
curse																																							1																		1																																		1																			3																													
haunt																																							1																																							1																																																													
irma																																							6																																																																																																				
najib																																							1																																																																																																				
abdul																																							1																																																																																																				
razak																																							1																																																																																																				
malaysia																																							1																																1																																																																				
luke																																							1																																																																																																				
shelters																																							1																																																																																																				
repub																																							1																1	1						1	1					1																																																																							
extremism																																							1		1	1																																																																																																	
mandan																																							1																																																																																																				
rossell																																							1																																																																																																				
weary																																							1																																																																																																				
legalize																																							1																																	1																																																																			
revisit																																							1																																																		1													1																																					
appeasement																																							1																																																																																																				
hereos																																							1																																																																																																				
ferocious																																								1																																																						1																																													
rainfall																																								2																																																																																																			
rains																																								1																																																																																																			
flash																																								1																																																																																																			
govs																																								1																													1																																																																						
arpaio																																								1																	1																																																																																		
doings																																								2																																																																																																			
elaine																																								1									1																																																																																										
duke																																								1																		1												1		1																	1																																																		
retaking																																								1																																																																																																			
yuma																																								3																																																																																																			
intensifies																																								1																																																																																																			
legion																																								1											1																																																																																								
tones																																								1																																																																																																			
ballard																																								1																																																																																																			
onward																																								1																																																																																																			
myer																																								3																																																																																																			
falwell																																								1																			1																																								2	1																																							
bigotry																																								2										1																																																																																									
authorizes																																								1																																																																																																			
combatant																																								1																																																																																																			
pershing																																								1																																																																																																			
condemns																																								1		1		1																																																																																															
barcelona																																								1																																						1																																																													
comparably																																								1																																																																																																			
stonewall																																								1																																																																																																			
kelli																																								1																																																																																																			
toxic																																								1																														1																							1																																														
misrepresent																																								1														1	2					1																																																																															
heyer																																								2																																																																																																			
trouncing																																								1																																																																																																			
equivalency																																								1																																																																																																			
kkk																																								1												2																																																																																							
neo																																								1													1																																																																																						
nazis																																								1																																																																																																			
supremacists																																								1																																																																																																			
colmery																																								1																																																																																																			
educational																																								1												1									1								1																																																																						
businesspeople																																								1																																																																			1	1																															
reasoned																																								1																				1																																																																															
congratulation																																								1							1										1																													1																																																					
grandstanders																																								1																																																																																																			
frazier																																								1																					1																																																																														
merck																																								1	1																																																																																																		
unwisely																																								1																																																																																																			
rebounds																																								1																																																						1																																													
entrepreneurship																																								1																															1		1	1				1		1	1					1			1		1												1				1																																
excessive																																								1										1																	1								1																												1										1																										
renovate																																								1																																									1						1																		1																																		
modernize																																								1																																																																																																			
amazonwashingtonpost																																								1																																																																																																			
failingnewyorktimes																																								1																																																																																																			
posed																																								1																																																																																																			
sacrificed																																								1																																			1		1																															1																															
conquests																																								1			1																																																																																																
sanction																																								1																												1																	1																																																						
accelerated																																								1																																														1																																																					
preparedness																																								1																																																																																																			
busting																																								1																											1												1																																																												
huntington																																								2																																																																																																			
rust																																								1													1																									1																																																													
belt																																								1													1								1													1				1																																																													
dreamers																																								1																																	1																																																																		
powering																																								1																																																																																																			
roar																																								1																																																																																																			
nuke																																									1																						2					1	1																																																																						
instrumental																																									1																																						1																																																												
quitters																																									1																																						1										1																																																		
bailouts																																									2																																																																																																		
eradicated																																									1																																																																																																		
implode																																									1																																																																																																		
shine																																									1																						1	1			1	1				1						1													1																																																
madeintheusa																																									1																																																																																																		
girls																																									1																														1			1				2											1			1	1			1	2	2																													1												
burdened																																									1																																																																																																		
transgender																																									2																																																																																																		
entail																																									1																																																																																																		
amvets																																									1																																																																																																		
youngstown																																									2										1						1																																																																																		
grt																																									1																					1																																																																													
saad																																									1																																																																																																		
hariri																																									1																																																																																																		
barron																																									1		1													1																																	2													1																																					
torturing																																									1																																																																																																		
rebels																																									1																																	1	2								2				10	1		2	1							2													1	3																											
beleaguered																																									1																																																																																																		
hillarys																																									1																																																																																																		
sewer																																									1																																											1																																																							
repercussions																																									1																																																								1																																										
commissioning																																									2																																																																																																		
gerald																																									2																													1																																																																					
qtr																																									2																																																																																																		
icymi																																									1									1																	1	2	2		3	1	1	1	1	2				1				1	1																																																						
corning																																									1																																																																																																		
lunchtime																																									1																																																																																																		
dies																																									1			1																																												1																																																			
slate																																									1																					1	1																																										1																																		
sung																																									1																																				1																																																														
hyun																																									1																																																																																																		
capabilities																																									1																																														1					1																																															
distorting																																									1		1																																																																																																
caputo																																									1																																																																																																		
numbered																																									1																																																																																																		
hillaryclinton																																									1									1		1	1	1			1		1		1			2		2	1																																																																								
mourns																																									1																																																																																																		
thru																																									1										1								1				1		1			1							1		1		1							2				1	1		1				1	1							1																																		
impt																																									1																																																																																																		
eiffel																																									1																																																																																																		
lys																																									1																																																																																																		
palace																																									1																																																																																																		
les																																									1																																							1																																																											
invalides																																									1																																																																																																		
rdy																																									2																																	1																																																																	
bastille																																									1																																																																																																		
willfully																																									1																																																																																																		
guarded																																									1																																																																																																		
constructively																																									1																																																																																																		
vehemently																																									1																						1																																																																												
defining																																									1																																																																																																		
shinz																																									1					1																																																																																													
shoulder																																									2													2																																																																																					
usss																																									1									1							1																																																																																		
intraday																																									1																																																																																																		
shawn																																									1																			1											8																																																																				
overcoming																																									1																																																						1	1																																											
bared																																									1																																																																																																		
concert																																									1						1												1							1			1						2															1								2	1																																								
susteren																																									1																																								1							1				3													1				1	3		4									2																	1	
encouraged																																										1																													1																																																																				
assurances																																										1																																																																																																	
enquirer																																										1																																																																																																	
sugar																																										1																							2	2						1						1			1								1		10		2			26																																											
misstated																																										1																																																																																																	
medicaid																																										1																				2			2		2											1																																																													
guardian																																										1																				1																																																																													
magnifying																																										1																																																																																																	
choke																																										1																				1					2																																																																								
picnic																																										1																																																																																																	
ranked																																										1																			1													1						1						1		1	1				3	2										1																												1							
deadliest																																										1																																																																																																	
busts																																										1																																																																																																	
recordings																																										2																																																																																																	
electronic																																										1		1																																																								1				1																																			
intercepts																																										1																																																																																																	
kirkwood																																										1																																																																																																	
cellular																																										1																																																																																																	
norman																																										2																														1				2				2					1	1		2						2		3						1		1																																			
handel																																										3		1																																																																																															
brutality																																										1																																																																																																	
varela																																										1																																																																																																	
bleached																																										1																																																																																																	
hensarling																																										1																																																																																																	
substandard																																										1																																																																																																	
washpost																																										1																																																																																																	
unfiltered																																										1																																																																																																	
alarmed																																										2																																																																																																	
watered																																										2																																																																																																	
knives																																										1																																																																																																	
extra																																										1																				1		1													2			1													2				1																																										
nguy																																											1																																																																																																
xu																																											1																																																																																																
alliances																																											1																																																																																																
kathy																																											1																																																	1																																															
covfefe																																											1																																																																																																
neighbor																																											1																																																												1																																				
disparaging																																											1																																																																																																
considerably																																											1																																																																																																
mattarella																																											1																																																																																																
taormina																																											1																																																																																																
holiness																																											1																																																																																																
vatican																																											2																														1																				1																																														
riyadh																																											1																																																																																																
santos																																											1																																																																																																
erdo																																											1																																																																																																
welcomed																																											1																																									1															1																																								
rocketry																																											1																																																																																																
responses																																											1																																														1									1										1																															
surrogates																																											1																																																																																																
sergei																																											1																																																																																																
fm																																											1																																													1									1																																										
pavlo																																											1																																																																																																
klimkin																																											1																																																																																																
sleeves																																											1																																																																																																
rosie																																											1												1									1						3	1	5	1				5		1										2		1		1	1				1						1	2		1	1																															
aggrieved																																											1																																																																																																
richie																																											1																																																																																																
devised																																											1																																																																																																
reiterated																																											1																																																																																																
giorgi																																											1																																																																																																
kvirikashvili																																											1																																																																																																
rexnord																																											1					1																																																																																											
disruptive																																											1																																																																																																
australians																																											1																																																																																																
saves																																											1																																															1																																																	
inclusion																																											1																						1																																																																										
coral																																											1																																																																																																
victorious																																											1																								1		1	1	1	2	2	1	1		2		2		1	1		1	1												1					1																																					
aetna																																											1			1																																																																																													
citing																																											1																																																																																																
indv																																											1																																																																																																
subcommittee																																											1																																																																																																
justification																																											1																																																																																																
falcons																																											1																																																																																																
islanders																																											1																																																																																																
signings																																												1																																																																4																															
juliana																																												1																																																																																															
awada																																												1																																																																																															
jeopardizing																																												1																																																																																															
statutory																																												1																																																																																															
prohibitions																																												1																																																																																															
antiquities																																												1																																																																																															
messy																																												1																				1																																																																											
tumbling																																												1																																																																																															
